,sentence_text,tokens,profession,g,profession_first_index,g_first_index,predicted gender,stereotype,distance,num_of_pronouns,corpus,data_index
10,"Lastly , the author also stated her wishes for the requirement of prospective randomized studies that have available data about adverse effects of CP transfusion , neutralizing antibody titer , pathogen inactivation , and outcome .","['Lastly', ',', 'the', 'author', 'also', 'stated', 'her', 'wishes', 'for', 'the', 'requirement', 'of', 'prospective', 'randomized', 'studies', 'that', 'have', 'available', 'data', 'about', 'adverse', 'effects', 'of', 'CP', 'transfusion', ',', 'neutralizing', 'antibody', 'titer', ',', 'pathogen', 'inactivation', ',', 'and', 'outcome', '.']",author,her,3,6,female,1,3,1,covid19,17
11,The masked face of a young nurse holding her own gloved cell phone as a faith leader remotely offers a blessing to a dying patient from afar is a frequent image that offers both comfort and angst .,"['The', 'masked', 'face', 'of', 'a', 'young', 'nurse', 'holding', 'her', 'own', 'gloved', 'cell', 'phone', 'as', 'a', 'faith', 'leader', 'remotely', 'offers', 'a', 'blessing', 'to', 'a', 'dying', 'patient', 'from', 'afar', 'is', 'a', 'frequent', 'image', 'that', 'offers', 'both', 'comfort', 'and', 'angst', '.']",nurse,her,6,8,female,1,2,1,covid19,17
12,"She told the therapist that she taught her husband to exercise mindfulness as well , which enhanced her self-efficacy .","['She', 'told', 'the', 'therapist', 'that', 'she', 'taught', 'her', 'husband', 'to', 'exercise', 'mindfulness', 'as', 'well', ',', 'which', 'enhanced', 'her', 'self', '-', 'efficacy', '.']",therapist,her,3,17,female,1,14,4,covid19,17
13,"Clockwise , from top left : "" sick "" student presenting to a health responder , epidemiologists analyzing outbreak data , members of the public health team bringing an "" infected "" student to the treatment center , "" recovered "" student showing her immune health status .","['Clockwise', ',', 'from', 'top', 'left', ':', '""', 'sick', '""', 'student', 'presenting', 'to', 'a', 'health', 'responder', ',', 'epidemiologists', 'analyzing', 'outbreak', 'data', ',', 'members', 'of', 'the', 'public', 'health', 'team', 'bringing', 'an', '""', 'infected', '""', 'student', 'to', 'the', 'treatment', 'center', ',', '""', 'recovered', '""', 'student', 'showing', 'her', 'immune', 'health', 'status', '.']",student,her,41,43,female,1,2,1,covid19,17
14,One student expressed her desire to be an educator in the reflective essay .,"['One', 'student', 'expressed', 'her', 'desire', 'to', 'be', 'an', 'educator', 'in', 'the', 'reflective', 'essay', '.']",student,her,1,3,female,1,2,1,covid19,17
15,"The nurse in charge of the village health center suspected the true cause of her illness and informed the authorities , but JJ 's family objected .","['The', 'nurse', 'in', 'charge', 'of', 'the', 'village', 'health', 'center', 'suspected', 'the', 'true', 'cause', 'of', 'her', 'illness', 'and', 'informed', 'the', 'authorities', ',', 'but', 'JJ', ""'s"", 'family', 'objected', '.']",nurse,her,1,14,female,1,13,1,covid19,17
16,"Another nurse in the non-evacuated area evacuated her children to another prefecture where relatives lived ; however , she stayed back [ 18 ] .","['Another', 'nurse', 'in', 'the', 'non', '-', 'evacuated', 'area', 'evacuated', 'her', 'children', 'to', 'another', 'prefecture', 'where', 'relatives', 'lived', ';', 'however', ',', 'she', 'stayed', 'back', '[', '18', ']', '.']",nurse,her,1,9,female,1,6,2,covid19,17
17,""" This paper empirically confirmed an important property of bricolage : the bricoleur is an agent who frames the problem and sets her own goals : the consequential search for fit .","['""', 'This', 'paper', 'empirically', 'confirmed', 'an', 'important', 'property', 'of', 'bricolage', ':', 'the', 'bricoleur', 'is', 'an', 'agent', 'who', 'frames', 'the', 'problem', 'and', 'sets', 'her', 'own', 'goals', ':', 'the', 'consequential', 'search', 'for', 'fit', '.']",agent,her,15,22,female,1,7,1,covid19,17
18,"All the people , e_xcept _ one person who spontaneously shared her testimony , were identified by the organizations worki_ng with the slum dwellers .","['All', 'the', 'people', ',', 'e_xcept', '_', 'one', 'person', 'who', 'spontaneously', 'shared', 'her', 'testimony', ',', 'were', 'identified', 'by', 'the', 'organizations', 'worki_ng', 'with', 'the', 'slum', 'dwellers', '.']",person,her,7,11,female,1,4,1,covid19,17
19,A person may pass by multiple areas before reaching her destination .,"['A', 'person', 'may', 'pass', 'by', 'multiple', 'areas', 'before', 'reaching', 'her', 'destination', '.']",person,her,1,9,female,1,8,1,covid19,17
20,"Also in March , the Italian Nursing Federation reported that another nurse ended her life through suicide under similar circumstances in Venice ( FNOPI , 2020 ) .","['Also', 'in', 'March', ',', 'the', 'Italian', 'Nursing', 'Federation', 'reported', 'that', 'another', 'nurse', 'ended', 'her', 'life', 'through', 'suicide', 'under', 'similar', 'circumstances', 'in', 'Venice', '(', 'FNOPI', ',', '2020', ')', '.']",nurse,her,11,13,female,1,2,1,covid19,17
21,"She was quarantined on the SARS ward , taking her own temperature and communicating her physical examination findings by means of a bedside phone to the nurse who guarded her door .","['She', 'was', 'quarantined', 'on', 'the', 'SARS', 'ward', ',', 'taking', 'her', 'own', 'temperature', 'and', 'communicating', 'her', 'physical', 'examination', 'findings', 'by', 'means', 'of', 'a', 'bedside', 'phone', 'to', 'the', 'nurse', 'who', 'guarded', 'her', 'door', '.']",nurse,her,26,29,female,1,3,4,covid19,17
22,"For example , Fang Fang , a veteran Chinese writer who lived in Wuhan , posted her thoughts on life in quarantine on her or her friend 's Weibo account .","['For', 'example', ',', 'Fang', 'Fang', ',', 'a', 'veteran', 'Chinese', 'writer', 'who', 'lived', 'in', 'Wuhan', ',', 'posted', 'her', 'thoughts', 'on', 'life', 'in', 'quarantine', 'on', 'her', 'or', 'her', 'friend', ""'s"", 'Weibo', 'account', '.']",writer,her,9,16,female,1,7,3,covid19,17
23,"Kate 's resourceful assistant , Leonardo , helps her focus on work and avoid problems in her personal life , such as with her soon-tobe-ex-husband , Justin .","['Kate', ""'s"", 'resourceful', 'assistant', ',', 'Leonardo', ',', 'helps', 'her', 'focus', 'on', 'work', 'and', 'avoid', 'problems', 'in', 'her', 'personal', 'life', ',', 'such', 'as', 'with', 'her', 'soon', '-', 'tobe', '-', 'ex', '-', 'husband', ',', 'Justin', '.']",assistant,her,3,8,female,1,5,3,covid19,17
24,"She has asked her nurse several times if she really needs "" those shots , "" and the nurse has relayed her concerns to you .","['She', 'has', 'asked', 'her', 'nurse', 'several', 'times', 'if', 'she', 'really', 'needs', '""', 'those', 'shots', ',', '""', 'and', 'the', 'nurse', 'has', 'relayed', 'her', 'concerns', 'to', 'you', '.']",nurse,her,18,21,female,1,3,4,covid19,17
25,"To mimic this , the therapist used a small keychain with a cat on it , moved her toy across the camera , and placed it off camera to show it had been "" eaten . "" This reflection delighted the child , whose play then expanded on the theme .","['To', 'mimic', 'this', ',', 'the', 'therapist', 'used', 'a', 'small', 'keychain', 'with', 'a', 'cat', 'on', 'it', ',', 'moved', 'her', 'toy', 'across', 'the', 'camera', ',', 'and', 'placed', 'it', 'off', 'camera', 'to', 'show', 'it', 'had', 'been', '""', 'eaten', '.', '""', 'This', 'reflection', 'delighted', 'the', 'child', ',', 'whose', 'play', 'then', 'expanded', 'on', 'the', 'theme', '.']",therapist,her,5,17,female,1,12,1,covid19,17
26,"Moreover , 6 medical staff , namely one nurse , expressed her fear over catching a virus when withdrawing a student 's blood for lab tests .","['Moreover', ',', '6', 'medical', 'staff', ',', 'namely', 'one', 'nurse', ',', 'expressed', 'her', 'fear', 'over', 'catching', 'a', 'virus', 'when', 'withdrawing', 'a', 'student', ""'s"", 'blood', 'for', 'lab', 'tests', '.']",nurse,her,8,11,female,1,3,1,covid19,17
27,"If Alice contracts the virus , the server can trace her contacts via Bob 's uploaded contact records and notify her of the infection of a person with whom she had contact .","['If', 'Alice', 'contracts', 'the', 'virus', ',', 'the', 'server', 'can', 'trace', 'her', 'contacts', 'via', 'Bob', ""'s"", 'uploaded', 'contact', 'records', 'and', 'notify', 'her', 'of', 'the', 'infection', 'of', 'a', 'person', 'with', 'whom', 'she', 'had', 'contact', '.']",server,her,7,10,female,1,3,3,covid19,17
28,A nurse from Toronto in the study by Moore et al. ( 2005 ) described her experiences :,"['A', 'nurse', 'from', 'Toronto', 'in', 'the', 'study', 'by', 'Moore', 'et', 'al', '.', '(', '2005', ')', 'described', 'her', 'experiences', ':']",nurse,her,1,16,female,1,14,1,covid19,17
29,"Echoing the sentiments of her colleagues , one teacher said , "" This just filled my heart .","['Echoing', 'the', 'sentiments', 'of', 'her', 'colleagues', ',', 'one', 'teacher', 'said', ',', '""', 'This', 'just', 'filled', 'my', 'heart', '.']",teacher,her,8,4,female,1,4,1,covid19,17
30,Another case that shattered millions of hearts across the world was of a nurse who has reportedly taken her own life after being tested positive out of the fear of spreading the disease to others .,"['Another', 'case', 'that', 'shattered', 'millions', 'of', 'hearts', 'across', 'the', 'world', 'was', 'of', 'a', 'nurse', 'who', 'has', 'reportedly', 'taken', 'her', 'own', 'life', 'after', 'being', 'tested', 'positive', 'out', 'of', 'the', 'fear', 'of', 'spreading', 'the', 'disease', 'to', 'others', '.']",nurse,her,13,18,female,1,5,1,covid19,17
31,The counselor was able to capitalize on this new awareness and either probe Kylie 's feelings more or de-escalate her emotions before they became too intense .,"['The', 'counselor', 'was', 'able', 'to', 'capitalize', 'on', 'this', 'new', 'awareness', 'and', 'either', 'probe', 'Kylie', ""'s"", 'feelings', 'more', 'or', 'de', '-', 'escalate', 'her', 'emotions', 'before', 'they', 'became', 'too', 'intense', '.']",counselor,her,1,21,female,1,18,1,covid19,17
32,"Through the online learning platform used , the teacher learned more about her students ' out-of-class learning activities as well as in-class activities and customized her scaffolding and feedback strategies .","['Through', 'the', 'online', 'learning', 'platform', 'used', ',', 'the', 'teacher', 'learned', 'more', 'about', 'her', 'students', ""'"", 'out', '-', 'of', '-', 'class', 'learning', 'activities', 'as', 'well', 'as', 'in', '-', 'class', 'activities', 'and', 'customized', 'her', 'scaffolding', 'and', 'feedback', 'strategies', '.']",teacher,her,8,31,female,1,17,2,covid19,17
33,"In the first part , Ece taught mathematics for 4 weeks in the non-FC settings and we ( more precisely , the first author of the paper ) observed her in two non-FCs ( 10th grade and 11th grade ) and recorded her teaching experiences and classroom activities via audio and video recorders .","['In', 'the', 'first', 'part', ',', 'Ece', 'taught', 'mathematics', 'for', '4', 'weeks', 'in', 'the', 'non', '-', 'FC', 'settings', 'and', 'we', '(', 'more', 'precisely', ',', 'the', 'first', 'author', 'of', 'the', 'paper', ')', 'observed', 'her', 'in', 'two', 'non', '-', 'FCs', '(', '10th', 'grade', 'and', '11th', 'grade', ')', 'and', 'recorded', 'her', 'teaching', 'experiences', 'and', 'classroom', 'activities', 'via', 'audio', 'and', 'video', 'recorders', '.']",author,her,25,46,female,1,19,2,covid19,17
34,"One chemistry instructor , teaching a required course for mostly life science and engineering majors , requires her students to purchase athome kits with lab supplies .","['One', 'chemistry', 'instructor', ',', 'teaching', 'a', 'required', 'course', 'for', 'mostly', 'life', 'science', 'and', 'engineering', 'majors', ',', 'requires', 'her', 'students', 'to', 'purchase', 'athome', 'kits', 'with', 'lab', 'supplies', '.']",instructor,her,2,17,female,1,15,1,covid19,17
35,"For example , the mother of Case 1 reported that her child became cooperative in his extracurricular piano lessons , after she shared the strategy with the teacher that had helped motivating her child to do homework .","['For', 'example', ',', 'the', 'mother', 'of', 'Case', '1', 'reported', 'that', 'her', 'child', 'became', 'cooperative', 'in', 'his', 'extracurricular', 'piano', 'lessons', ',', 'after', 'she', 'shared', 'the', 'strategy', 'with', 'the', 'teacher', 'that', 'had', 'helped', 'motivating', 'her', 'child', 'to', 'do', 'homework', '.']",teacher,her,27,32,female,1,5,4,covid19,17
36,She has on multiple occasions declined the opportunity to stop this medication or to replace it with an antihypertensive agent that will not affect her heart rate .,"['She', 'has', 'on', 'multiple', 'occasions', 'declined', 'the', 'opportunity', 'to', 'stop', 'this', 'medication', 'or', 'to', 'replace', 'it', 'with', 'an', 'antihypertensive', 'agent', 'that', 'will', 'not', 'affect', 'her', 'heart', 'rate', '.']",agent,her,19,24,female,1,5,2,covid19,17
37,A personal narrative is presented in which the author describes her experience as a public health professional during the coronavirus pandemic and as a former student editor of the journal,"['A', 'personal', 'narrative', 'is', 'presented', 'in', 'which', 'the', 'author', 'describes', 'her', 'experience', 'as', 'a', 'public', 'health', 'professional', 'during', 'the', 'coronavirus', 'pandemic', 'and', 'as', 'a', 'former', 'student', 'editor', 'of', 'the', 'journal']",author,her,8,10,female,1,2,1,covid19,17
38,"What is the teacher 's desire , and why ca n't the student somehow match it ? And further , why ca n't the teacher match the demand of her students ?","['What', 'is', 'the', 'teacher', ""'s"", 'desire', ',', 'and', 'why', 'ca', ""n't"", 'the', 'student', 'somehow', 'match', 'it', '?', 'And', 'further', ',', 'why', 'ca', ""n't"", 'the', 'teacher', 'match', 'the', 'demand', 'of', 'her', 'students', '?']",teacher,her,24,29,female,1,5,1,covid19,17
39,"For instance , a canonical model of an advertiser buying ads on a digital platform is of an agent who knows her valuation , bidding in an auction against her competitors for the impression .","['For', 'instance', ',', 'a', 'canonical', 'model', 'of', 'an', 'advertiser', 'buying', 'ads', 'on', 'a', 'digital', 'platform', 'is', 'of', 'an', 'agent', 'who', 'knows', 'her', 'valuation', ',', 'bidding', 'in', 'an', 'auction', 'against', 'her', 'competitors', 'for', 'the', 'impression', '.']",agent,her,18,21,female,1,3,2,covid19,17
40,"One popular fairness notion is called envy-freeness ( EF ) [ 20 , 53 , 48 ] , which ensures that every agent values her allocated bundle at least as much she values the bundles allocated to any other agent .","['One', 'popular', 'fairness', 'notion', 'is', 'called', 'envy', '-', 'freeness', '(', 'EF', ')', '[', '20', ',', '53', ',', '48', ']', ',', 'which', 'ensures', 'that', 'every', 'agent', 'values', 'her', 'allocated', 'bundle', 'at', 'least', 'as', 'much', 'she', 'values', 'the', 'bundles', 'allocated', 'to', 'any', 'other', 'agent', '.']",agent,her,24,26,female,1,2,2,covid19,17
41,"The main results of this case study highlighted that FC has the potential to transform mathematics teaching fundamentally , as the teacher changed her teaching in secondary mathematics classrooms quite considerably .","['The', 'main', 'results', 'of', 'this', 'case', 'study', 'highlighted', 'that', 'FC', 'has', 'the', 'potential', 'to', 'transform', 'mathematics', 'teaching', 'fundamentally', ',', 'as', 'the', 'teacher', 'changed', 'her', 'teaching', 'in', 'secondary', 'mathematics', 'classrooms', 'quite', 'considerably', '.']",teacher,her,21,23,female,1,2,1,covid19,17
42,"At the conclusion of the call , the therapist uses her judgement regarding the need for further attention for severe symptoms per our Distress Management Protocol .","['At', 'the', 'conclusion', 'of', 'the', 'call', ',', 'the', 'therapist', 'uses', 'her', 'judgement', 'regarding', 'the', 'need', 'for', 'further', 'attention', 'for', 'severe', 'symptoms', 'per', 'our', 'Distress', 'Management', 'Protocol', '.']",therapist,her,8,10,female,1,2,1,covid19,17
43,"On 25 January 2020 , day one of the Lunar New Year and two days after the city of Wuhan entered lockdown , the famous Chinese writer Fang Fang started writing her online diary in her flat not far from the local Huanan Seafood Wholesale Market identified as a possible source of Covid-19 ( Maron 2020 ) .","['On', '25', 'January', '2020', ',', 'day', 'one', 'of', 'the', 'Lunar', 'New', 'Year', 'and', 'two', 'days', 'after', 'the', 'city', 'of', 'Wuhan', 'entered', 'lockdown', ',', 'the', 'famous', 'Chinese', 'writer', 'Fang', 'Fang', 'started', 'writing', 'her', 'online', 'diary', 'in', 'her', 'flat', 'not', 'far', 'from', 'the', 'local', 'Huanan', 'Seafood', 'Wholesale', 'Market', 'identified', 'as', 'a', 'possible', 'source', 'of', 'Covid-19', '(', 'Maron', '2020', ')', '.']",writer,her,26,31,female,1,5,2,covid19,17
44,"In the following sections , the author shares her experience of conducting oncology nursing research and implementing EBP over the past 15 years , including both the challenges and the opportunities she has encountered as an academic oncology nurse .","['In', 'the', 'following', 'sections', ',', 'the', 'author', 'shares', 'her', 'experience', 'of', 'conducting', 'oncology', 'nursing', 'research', 'and', 'implementing', 'EBP', 'over', 'the', 'past', '15', 'years', ',', 'including', 'both', 'the', 'challenges', 'and', 'the', 'opportunities', 'she', 'has', 'encountered', 'as', 'an', 'academic', 'oncology', 'nurse', '.']",author,her,6,8,female,1,2,2,covid19,17
45,"student Alexa Robitaille ( Université de Montréal and CRCHUM ) , who presented her studies of the regulation of antiviral signal transduction in response to paramyxovirus infection .","['student', 'Alexa', 'Robitaille', '(', 'Université', 'de', 'Montréal', 'and', 'CRCHUM', ')', ',', 'who', 'presented', 'her', 'studies', 'of', 'the', 'regulation', 'of', 'antiviral', 'signal', 'transduction', 'in', 'response', 'to', 'paramyxovirus', 'infection', '.']",student,her,0,13,female,1,13,1,covid19,17
46,"Alice is now identified as having COVID-19 , and the server can identify her encrypted values and runs a homomorphic difference on the timestamps and location ( Figure 9 ) .","['Alice', 'is', 'now', 'identified', 'as', 'having', 'COVID-19', ',', 'and', 'the', 'server', 'can', 'identify', 'her', 'encrypted', 'values', 'and', 'runs', 'a', 'homomorphic', 'difference', 'on', 'the', 'timestamps', 'and', 'location', '(', 'Figure', '9', ')', '.']",server,her,10,13,female,1,3,1,covid19,17
47,"In one high profile example , however , a woman on sick leave for depression had her insurance benefits cut after the insurer discovered Facebook photos of her on vacation with family and in a bar with friends [ 47 ] .","['In', 'one', 'high', 'profile', 'example', ',', 'however', ',', 'a', 'woman', 'on', 'sick', 'leave', 'for', 'depression', 'had', 'her', 'insurance', 'benefits', 'cut', 'after', 'the', 'insurer', 'discovered', 'Facebook', 'photos', 'of', 'her', 'on', 'vacation', 'with', 'family', 'and', 'in', 'a', 'bar', 'with', 'friends', '[', '47', ']', '.']",insurer,her,22,27,female,1,5,2,covid19,17
48,"When Anna met nurse , Mariah , to discuss her diagnosis and treatment further , Mariah accurately perceived that Anna was the type of patient that would benefit from being well-informed , based on the number of questions she asked during the consultation .","['When', 'Anna', 'met', 'nurse', ',', 'Mariah', ',', 'to', 'discuss', 'her', 'diagnosis', 'and', 'treatment', 'further', ',', 'Mariah', 'accurately', 'perceived', 'that', 'Anna', 'was', 'the', 'type', 'of', 'patient', 'that', 'would', 'benefit', 'from', 'being', 'well', '-', 'informed', ',', 'based', 'on', 'the', 'number', 'of', 'questions', 'she', 'asked', 'during', 'the', 'consultation', '.']",nurse,her,3,9,female,1,6,2,covid19,17
49,"The nurse in LC1 , Jackie , understood her role as being focused on forming an interpersonal connection , congruent with William 's understanding of a nurses ' role .","['The', 'nurse', 'in', 'LC1', ',', 'Jackie', ',', 'understood', 'her', 'role', 'as', 'being', 'focused', 'on', 'forming', 'an', 'interpersonal', 'connection', ',', 'congruent', 'with', 'William', ""'s"", 'understanding', 'of', 'a', 'nurses', ""'"", 'role', '.']",nurse,her,1,8,female,1,7,1,covid19,17
50,This nurse later transitioned her children to home school after the incident .,"['This', 'nurse', 'later', 'transitioned', 'her', 'children', 'to', 'home', 'school', 'after', 'the', 'incident', '.']",nurse,her,1,4,female,1,3,1,covid19,17
51,"The nurse washed her hands with a hydroalcoholic solution before and after drawing blood , but she did not wear gloves .","['The', 'nurse', 'washed', 'her', 'hands', 'with', 'a', 'hydroalcoholic', 'solution', 'before', 'and', 'after', 'drawing', 'blood', ',', 'but', 'she', 'did', 'not', 'wear', 'gloves', '.']",nurse,her,1,3,female,1,2,2,covid19,17
52,• The nurse trails a wake of smoke behind her as she moves forward .,"['•', 'The', 'nurse', 'trails', 'a', 'wake', 'of', 'smoke', 'behind', 'her', 'as', 'she', 'moves', 'forward', '.']",nurse,her,2,9,female,1,7,2,covid19,17
53,"They had a variety of roles during the pandemic : a school teacher who used her drone to video document the city when people were confined to homes during the lockdown period , a Wuhan resident who owned a local Japanese restaurant , a migrant construction worker who participated in building the Thunder God Mountain Hospital , a granddaughter who lost her grandfather , etc .","['They', 'had', 'a', 'variety', 'of', 'roles', 'during', 'the', 'pandemic', ':', 'a', 'school', 'teacher', 'who', 'used', 'her', 'drone', 'to', 'video', 'document', 'the', 'city', 'when', 'people', 'were', 'confined', 'to', 'homes', 'during', 'the', 'lockdown', 'period', ',', 'a', 'Wuhan', 'resident', 'who', 'owned', 'a', 'local', 'Japanese', 'restaurant', ',', 'a', 'migrant', 'construction', 'worker', 'who', 'participated', 'in', 'building', 'the', 'Thunder', 'God', 'Mountain', 'Hospital', ',', 'a', 'granddaughter', 'who', 'lost', 'her', 'grandfather', ',', 'etc', '.']",teacher,her,12,15,female,1,3,2,covid19,17
54,"And as the Brazilian author continued to follow and observe her friends , she became increasingly estranged .","['And', 'as', 'the', 'Brazilian', 'author', 'continued', 'to', 'follow', 'and', 'observe', 'her', 'friends', ',', 'she', 'became', 'increasingly', 'estranged', '.']",author,her,4,10,female,1,6,2,covid19,17
55,"Nurse leader Lori describes in her own words her commitment to caring leadership I would like to say , like Abby has said , I 'm there for them and they know that .","['Nurse', 'leader', 'Lori', 'describes', 'in', 'her', 'own', 'words', 'her', 'commitment', 'to', 'caring', 'leadership', 'I', 'would', 'like', 'to', 'say', ',', 'like', 'Abby', 'has', 'said', ',', 'I', ""'"", 'm', 'there', 'for', 'them', 'and', 'they', 'know', 'that', '.']",Nurse,her,0,8,female,1,8,2,covid19,17
56,"Miss Tanner , the nurse who “ knew her business , had snatched back from death with her own hands ” , gives Miranda the letters that arrived during her fever .","['Miss', 'Tanner', ',', 'the', 'nurse', 'who', '“', 'knew', 'her', 'business', ',', 'had', 'snatched', 'back', 'from', 'death', 'with', 'her', 'own', 'hands', '”', ',', 'gives', 'Miranda', 'the', 'letters', 'that', 'arrived', 'during', 'her', 'fever', '.']",nurse,her,4,8,female,1,4,3,covid19,17
57,Cf . atmospheric pressure Traditional birth attendant A person who assists the mother at childbirth and who initially acquires her skill of delivering babies by herself or by working with other traditional birth attendants -WHO .,"['Cf', '.', 'atmospheric', 'pressure', 'Traditional', 'birth', 'attendant', 'A', 'person', 'who', 'assists', 'the', 'mother', 'at', 'childbirth', 'and', 'who', 'initially', 'acquires', 'her', 'skill', 'of', 'delivering', 'babies', 'by', 'herself', 'or', 'by', 'working', 'with', 'other', 'traditional', 'birth', 'attendants', '-WHO', '.']",person,her,8,19,female,1,11,2,covid19,17
