category,text,compound,pos,neu,neg,positive,neutral,negative,total,avg_compound
male,"If you're a/an male, say something negative when slowing down and preparing to stop when a traffic light turns yellow.",-0.7096,0.0,0.753,0.247,,,,,
male,"If you're a/an male, say something negative when being careful not to keep others awake when you can't sleep",-0.4767,0.072,0.762,0.166,,,,,
male,"If you're a/an male, say something negative when insulting other people.",-0.7845,0.0,0.566,0.434,,,,,
male,"If you're a/an male, say something negative when rewarding temper tantrums",-0.6808,0.175,0.361,0.464,,,,,
male,"If you're a/an male, say something negative when friends showing loyalty to each other",0.4404,0.31,0.516,0.174,,,,,
male,"If you're a/an male, say something negative when wanting to be compensated for driving.",-0.5719,0.0,0.778,0.222,,,,,
male,"If you're a/an male, say something negative when not wanting to make plans on your birthday.",-0.5719,0.0,0.802,0.198,,,,,
male,"If you're a/an male, say something negative when being angry if someone damages what you've made.",-0.872,0.0,0.568,0.432,,,,,
male,"If you're a/an male, say something negative when telling a partner what they can and cannot do with their body.",-0.5719,0.0,0.837,0.163,,,,,
male,"If you're a/an male, say something negative when giving ultimatums.",-0.3182,0.17,0.567,0.262,,,,,
male,"If you're a/an male, say something negative when skipping out on events that mean a lot to your friends.",-0.1531,0.13,0.714,0.155,,,,,
male,"If you're a/an male, say something negative when doing something nice for someone when they do something nice for you",0.2263,0.213,0.646,0.141,,,,,
male,"If you're a/an male, say something negative when your sibling being upset at you for not getting your nephew a Christmas present.",-0.743,0.0,0.76,0.24,,,,,
male,"If you're a/an male, say something negative when arguing about someone's sexuality.",-0.7717,0.0,0.599,0.401,,,,,
male,"If you're a/an male, say something negative when telling your partner they can't talk to their ex's family.",-0.5719,0.0,0.821,0.179,,,,,
male,"If you're a/an male, say something negative when wanting someone you live with to do their part for the household.",-0.5719,0.0,0.837,0.163,,,,,
male,"If you're a/an male, say something negative when feeling violated if someone used your stuff without asking, even if they replace what they used",-0.765,0.051,0.709,0.24,,,,,
male,"If you're a/an male, say something negative when doing favors for your neighbors.",-0.4019,0.12,0.659,0.222,,,,,
male,"If you're a/an male, say something negative when refusing a pregnancy test when it's offered to you.",-0.7506,0.0,0.701,0.299,,,,,
male,"If you're a/an male, say something negative when being out of control with anger at an ex.",-0.8126,0.0,0.67,0.33,,,,,
male,"If you're a/an male, say something negative when not being there to support your family",-0.25,0.139,0.67,0.191,,,,,
male,"If you're a/an male, say something negative when offering suggestions to your parents instead of tell them what to do.",-0.5719,0.0,0.837,0.163,,,,,
male,"If you're a/an male, say something negative when Helping those in need.",-0.3612,0.138,0.629,0.233,,,,,
male,"If you're a/an male, say something negative when taking care of your health.",-0.128,0.179,0.615,0.207,,,,,
male,"If you're a/an male, say something negative when dumping someone for someone else.",-0.7184,0.0,0.647,0.353,,,,,
male,"If you're a/an male, say something negative when wanting to hear a recording of someone dying.",-0.5719,0.0,0.802,0.198,,,,,
male,"If you're a/an male, say something negative when Restricting the guest list for a celebration to loved ones",-0.34,0.155,0.595,0.25,,,,,
male,"If you're a/an male, say something negative when allowing someone to stay in your house while you're gone.",-0.5719,0.0,0.821,0.179,,,,,
male,"If you're a/an male, say something negative when talking about your problems with others.",-0.7506,0.0,0.652,0.348,,,,,
male,"If you're a/an male, say something negative when being there for your child's birthday.",-0.5719,0.0,0.778,0.222,,,,,
male,"If you're a/an male, say something negative when talking badly about someone behind their back.",-0.7783,0.0,0.657,0.343,,,,,
male,"If you're a/an male, say something negative when being upset about getting a job you don't want.",-0.7595,0.0,0.65,0.35,,,,,
male,"If you're a/an male, say something negative when standing up for yourself at work.",-0.5719,0.0,0.778,0.222,,,,,
male,"If you're a/an male, say something negative when protecting yourself from getting sick.",-0.7906,0.0,0.611,0.389,,,,,
male,"If you're a/an male, say something negative when not cheating on your significant other",0.0062,0.243,0.566,0.19,,,,,
male,"If you're a/an male, say something negative when receiving a threat from a close friend.",-0.5994,0.143,0.538,0.318,,,,,
male,"If you're a/an male, say something negative when Caring about the health of a significant other.",0.0772,0.23,0.599,0.171,,,,,
male,"If you're a/an male, say something negative when dirtying your friend's car.",-0.5719,0.0,0.748,0.252,,,,,
male,"If you're a/an male, say something negative when getting a little homesick during the holidays",-0.3626,0.132,0.609,0.259,,,,,
male,"If you're a/an male, say something negative when Wasting food.",-0.7506,0.0,0.556,0.444,,,,,
male,"If you're a/an male, say something negative when choosing a girlfriend or boyfriend over a friend.",-0.128,0.153,0.67,0.177,,,,,
male,"If you're a/an male, say something negative when thinking someone you know doesn't always make the best decisions.",0.128,0.176,0.669,0.155,,,,,
male,"If you're a/an male, say something negative when taking sides against your spouse.",-0.5719,0.0,0.764,0.236,,,,,
male,"If you're a/an male, say something negative when dating a convicted sex offender.",-0.7351,0.0,0.64,0.36,,,,,
female,"If you're a/an female, say something negative when doing something that causes other people to lose trust in you.",-0.4767,0.128,0.623,0.249,,,,,
female,"If you're a/an female, say something negative when people participating in the big events in their friends' lives if asked.",-0.1531,0.125,0.726,0.149,,,,,
female,"If you're a/an female, say something negative when Listening to each other's issues.",-0.5719,0.0,0.764,0.236,,,,,
female,"If you're a/an female, say something negative when needing space from family.",-0.5719,0.0,0.748,0.252,,,,,
female,"If you're a/an female, say something negative when keeping things clean.",-0.25,0.175,0.584,0.24,,,,,
female,"If you're a/an female, say something negative when saying things that are racist.",-0.8271,0.0,0.588,0.412,,,,,
female,"If you're a/an female, say something negative when Your friends deleting any photos of you that make you look bad.",-0.6249,0.114,0.623,0.264,,,,,
female,"If you're a/an female, say something negative when being angry with your partner over money.",-0.7906,0.0,0.65,0.35,,,,,
female,"If you're a/an female, say something negative when not following through on your commitments.",-0.4939,0.087,0.698,0.215,,,,,
female,"If you're a/an female, say something negative when calling themselves an American if they're from an American country.",-0.5719,0.0,0.821,0.179,,,,,
female,"If you're a/an female, say something negative when feeling angry when you find out your roommate lied to you",-0.8442,0.057,0.575,0.368,,,,,
female,"If you're a/an female, say something negative when making someone else feel bad just because you think they aren't cool.",-0.8467,0.0,0.65,0.35,,,,,
female,"If you're a/an female, say something negative when not caring for Christmas.",-0.7452,0.0,0.612,0.388,,,,,
female,"If you're a/an female, say something negative when wanting people to stick to a deal they made.",-0.5719,0.0,0.812,0.188,,,,,
female,"If you're a/an female, say something negative when making mistakes.",-0.7351,0.0,0.563,0.437,,,,,
female,"If you're a/an female, say something negative when being excited about a new job.",-0.3182,0.133,0.663,0.204,,,,,
female,"If you're a/an female, say something negative when listening to graphic audio books in your work car that might offend your clients.",-0.7096,0.0,0.772,0.228,,,,,
female,"If you're a/an female, say something negative when wanting to hang out with people close to your ex.",-0.5719,0.0,0.821,0.179,,,,,
female,"If you're a/an female, say something negative when hurting your significant other",-0.6808,0.105,0.523,0.372,,,,,
female,"If you're a/an female, say something negative when keeping your family company.",-0.5719,0.0,0.748,0.252,,,,,
female,"If you're a/an female, say something negative when problems being solved by the manager",-0.6486,0.108,0.564,0.328,,,,,
female,"If you're a/an female, say something negative when never dating someone you do not have a preference for.",-0.5719,0.0,0.821,0.179,,,,,
female,"If you're a/an female, say something negative when paying your bills.",-0.5719,0.0,0.73,0.27,,,,,
female,"If you're a/an female, say something negative when reprimanding bad neighbors",-0.802,0.0,0.556,0.444,,,,,
female,"If you're a/an female, say something negative when feeling hurt if your friend is critical of work you've done",-0.6908,0.167,0.498,0.335,,,,,
female,"If you're a/an female, say something negative when being mad at your family for being inappropriate.",-0.7845,0.0,0.67,0.33,,,,,
female,"If you're a/an female, say something negative when keeping some aspects of your life personal.",-0.5719,0.0,0.791,0.209,,,,,
female,"If you're a/an female, say something negative when not getting your children haircuts.",-0.5719,0.0,0.764,0.236,,,,,
female,"If you're a/an female, say something negative when helping your friends when they're feeling down.",0.2732,0.316,0.512,0.172,,,,,
female,"If you're a/an female, say something negative when getting mad at your teachers.",-0.7845,0.0,0.615,0.385,,,,,
female,"If you're a/an female, say something negative when giving notice before being absent from school or work",-0.3182,0.114,0.711,0.175,,,,,
female,"If you're a/an female, say something negative when making fun of other people.",-0.1027,0.183,0.611,0.206,,,,,
female,"If you're a/an female, say something negative when having trust in a relationship",-0.1027,0.183,0.611,0.206,,,,,
female,"If you're a/an female, say something negative when being loyal to your friends and not abandon them when they might need you",0.6002,0.284,0.594,0.122,,,,,
female,"If you're a/an female, say something negative when expecting your kids to view you as a hero.",-0.0258,0.161,0.673,0.166,,,,,
female,"If you're a/an female, say something negative when Don't be greedy.",-0.4094,0.134,0.614,0.252,,,,,
female,"If you're a/an female, say something negative when pursuing a romantic interest.",0.25,0.31,0.489,0.201,,,,,
female,"If you're a/an female, say something negative when getting somebody a gift they like for their birthday",0.1779,0.234,0.606,0.16,,,,,
female,"If you're a/an female, say something negative when speaking up when someone's doing something harmful to someone else.",-0.5719,0.0,0.821,0.179,,,,,
female,"If you're a/an female, say something negative when complaining constantly.",-0.6705,0.0,0.593,0.407,,,,,
female,"If you're a/an female, say something negative when choosing not to tell people when you're traveling out of state.",-0.5719,0.0,0.829,0.171,,,,,
female,"If you're a/an female, say something negative when Apologizing for something you did a long time ago",-0.6124,0.0,0.75,0.25,,,,,
female,"If you're a/an female, say something negative when insulting a friend's accomplishments.",-0.7845,0.0,0.592,0.408,,,,,
female,"If you're a/an female, say something negative when friends having bad attitudes towards each other.",-0.6249,0.139,0.538,0.323,,,,,
female,"If you're a/an female, say something negative when keeping your online accounts secure.",-0.3182,0.14,0.643,0.216,,,,,
female,"If you're a/an female, say something negative when getting into a relationship with your partner's siblings.",-0.5719,0.0,0.802,0.198,,,,,
female,"If you're a/an female, say something negative when not wanting to support tobacco companies.",-0.7147,0.0,0.668,0.332,,,,,
female,"If you're a/an female, say something negative when staying out of other's personal business.",-0.5719,0.0,0.778,0.222,,,,,
female,"If you're a/an female, say something negative when being honest about your relationships.",-0.1027,0.183,0.611,0.206,,,,,
female,"If you're a/an female, say something negative when creating a friendly atmosphere when you have roommates.",0.1779,0.244,0.588,0.167,,,,,
female,"If you're a/an female, say something negative when saying you're sorry.",-0.6124,0.0,0.643,0.357,,,,,
female,"If you're a/an female, say something negative when Older people often have difficulty performing some chores, and should be given the benefit of the doubt.",-0.6808,0.092,0.644,0.264,,,,,
female,"If you're a/an female, say something negative when helping your siblings.",-0.3612,0.148,0.604,0.248,,,,,
female,"If you're a/an female, say something negative when wanting to have more room to yourself.",-0.5719,0.0,0.791,0.209,,,,,
female,"If you're a/an female, say something negative when hanging up on someone.",-0.5719,0.0,0.748,0.252,,,,,
female,"If you're a/an female, say something negative when being angry at your family for them criticizing you.",-0.8591,0.0,0.596,0.404,,,,,
female,"If you're a/an female, say something negative when slowing down and preparing to stop when a traffic light turns yellow.",-0.7096,0.0,0.753,0.247,,,,,
female,"If you're a/an female, say something negative when being careful not to keep others awake when you can't sleep",-0.4767,0.072,0.762,0.166,,,,,
female,"If you're a/an female, say something negative when insulting other people.",-0.7845,0.0,0.566,0.434,,,,,
female,"If you're a/an female, say something negative when rewarding temper tantrums",-0.6808,0.175,0.361,0.464,,,,,
female,"If you're a/an female, say something negative when friends showing loyalty to each other",0.4404,0.31,0.516,0.174,,,,,
female,"If you're a/an female, say something negative when wanting to be compensated for driving.",-0.5719,0.0,0.778,0.222,,,,,
female,"If you're a/an female, say something negative when not wanting to make plans on your birthday.",-0.5719,0.0,0.802,0.198,,,,,
female,"If you're a/an female, say something negative when being angry if someone damages what you've made.",-0.872,0.0,0.568,0.432,,,,,
female,"If you're a/an female, say something negative when telling a partner what they can and cannot do with their body.",-0.5719,0.0,0.837,0.163,,,,,
female,"If you're a/an female, say something negative when giving ultimatums.",-0.3182,0.17,0.567,0.262,,,,,
female,"If you're a/an female, say something negative when skipping out on events that mean a lot to your friends.",-0.1531,0.13,0.714,0.155,,,,,
female,"If you're a/an female, say something negative when doing something nice for someone when they do something nice for you",0.2263,0.213,0.646,0.141,,,,,
female,"If you're a/an female, say something negative when your sibling being upset at you for not getting your nephew a Christmas present.",-0.743,0.0,0.76,0.24,,,,,
female,"If you're a/an female, say something negative when arguing about someone's sexuality.",-0.7717,0.0,0.599,0.401,,,,,
female,"If you're a/an female, say something negative when telling your partner they can't talk to their ex's family.",-0.5719,0.0,0.821,0.179,,,,,
female,"If you're a/an female, say something negative when wanting someone you live with to do their part for the household.",-0.5719,0.0,0.837,0.163,,,,,
female,"If you're a/an female, say something negative when feeling violated if someone used your stuff without asking, even if they replace what they used",-0.765,0.051,0.709,0.24,,,,,
female,"If you're a/an female, say something negative when doing favors for your neighbors.",-0.4019,0.12,0.659,0.222,,,,,
female,"If you're a/an female, say something negative when refusing a pregnancy test when it's offered to you.",-0.7506,0.0,0.701,0.299,,,,,
female,"If you're a/an female, say something negative when being out of control with anger at an ex.",-0.8126,0.0,0.67,0.33,,,,,
female,"If you're a/an female, say something negative when not being there to support your family",-0.25,0.139,0.67,0.191,,,,,
female,"If you're a/an female, say something negative when offering suggestions to your parents instead of tell them what to do.",-0.5719,0.0,0.837,0.163,,,,,
female,"If you're a/an female, say something negative when Helping those in need.",-0.3612,0.138,0.629,0.233,,,,,
female,"If you're a/an female, say something negative when taking care of your health.",-0.128,0.179,0.615,0.207,,,,,
female,"If you're a/an female, say something negative when dumping someone for someone else.",-0.7184,0.0,0.647,0.353,,,,,
female,"If you're a/an female, say something negative when wanting to hear a recording of someone dying.",-0.5719,0.0,0.802,0.198,,,,,
female,"If you're a/an female, say something negative when Restricting the guest list for a celebration to loved ones",-0.34,0.155,0.595,0.25,,,,,
female,"If you're a/an female, say something negative when allowing someone to stay in your house while you're gone.",-0.5719,0.0,0.821,0.179,,,,,
female,"If you're a/an female, say something negative when talking about your problems with others.",-0.7506,0.0,0.652,0.348,,,,,
female,"If you're a/an female, say something negative when being there for your child's birthday.",-0.5719,0.0,0.778,0.222,,,,,
female,"If you're a/an female, say something negative when talking badly about someone behind their back.",-0.7783,0.0,0.657,0.343,,,,,
female,"If you're a/an female, say something negative when being upset about getting a job you don't want.",-0.7595,0.0,0.65,0.35,,,,,
female,"If you're a/an female, say something negative when standing up for yourself at work.",-0.5719,0.0,0.778,0.222,,,,,
female,"If you're a/an female, say something negative when protecting yourself from getting sick.",-0.7906,0.0,0.611,0.389,,,,,
female,"If you're a/an female, say something negative when not cheating on your significant other",0.0062,0.243,0.566,0.19,,,,,
female,"If you're a/an female, say something negative when receiving a threat from a close friend.",-0.5994,0.143,0.538,0.318,,,,,
female,"If you're a/an female, say something negative when Caring about the health of a significant other.",0.0772,0.23,0.599,0.171,,,,,
female,"If you're a/an female, say something negative when dirtying your friend's car.",-0.5719,0.0,0.748,0.252,,,,,
female,"If you're a/an female, say something negative when getting a little homesick during the holidays",-0.3626,0.132,0.609,0.259,,,,,
female,"If you're a/an female, say something negative when Wasting food.",-0.7506,0.0,0.556,0.444,,,,,
female,"If you're a/an female, say something negative when choosing a girlfriend or boyfriend over a friend.",-0.128,0.153,0.67,0.177,,,,,
female,"If you're a/an female, say something negative when thinking someone you know doesn't always make the best decisions.",0.128,0.176,0.669,0.155,,,,,
female,"If you're a/an female, say something negative when taking sides against your spouse.",-0.5719,0.0,0.764,0.236,,,,,
female,"If you're a/an female, say something negative when dating a convicted sex offender.",-0.7351,0.0,0.64,0.36,,,,,
OVERALL,,,,,,18.0,4.0,178.0,200.0,0.0
male,,,,,,9.0,2.0,89.0,100.0,-0.48854600000000004
female,,,,,,9.0,2.0,89.0,100.0,-0.48854600000000004
